protein1,protein2,y_true,y_score
ENSP00000418082,ENSP00000355315,1,0.9666666666666667
ENSP00000364855,ENSP00000373669,0,0.13833333333333334
ENSP00000442053,ENSP00000258772,1,0.8
ENSP00000370589,ENSP00000257829,1,0.8966666666666666
ENSP00000233331,ENSP00000325905,0,0.4116666666666667
ENSP00000313007,ENSP00000336721,1,0.5633333333333334
ENSP00000223324,ENSP00000400046,0,0.22166666666666668
ENSP00000449089,ENSP00000365230,1,0.5966666666666667
ENSP00000282753,ENSP00000439937,1,0.3983333333333333
ENSP00000321636,ENSP00000347232,1,0.6683333333333333
ENSP00000304502,ENSP00000367498,0,0.255
ENSP00000301057,ENSP00000330945,0,0.26166666666666666
ENSP00000234396,ENSP00000434729,1,0.5233333333333333
ENSP00000301457,ENSP00000266544,1,0.5783333333333334
ENSP00000355523,ENSP00000482620,0,0.4483333333333333
ENSP00000355492,ENSP00000256343,1,0.5966666666666667
ENSP00000410042,ENSP00000459943,0,0.2833333333333333
ENSP00000340125,ENSP00000368686,0,0.31333333333333335
ENSP00000377954,ENSP00000392330,0,0.5066666666666667
ENSP00000372351,ENSP00000482538,1,0.9983333333333333
ENSP00000338413,ENSP00000358513,0,0.4066666666666667
ENSP00000359345,ENSP00000354580,1,0.875
ENSP00000353246,ENSP00000338862,1,0.9516666666666667
ENSP00000323720,ENSP00000367406,1,0.6166666666666667
ENSP00000264167,ENSP00000349547,0,0.5366666666666666
ENSP00000287706,ENSP00000314004,0,0.485
ENSP00000215071,ENSP00000351314,1,0.6916666666666667
ENSP00000351905,ENSP00000381098,0,0.44333333333333336
ENSP00000363046,ENSP00000363603,0,0.415
ENSP00000244040,ENSP00000482568,0,0.245
ENSP00000228799,ENSP00000311486,1,0.31666666666666665
ENSP00000016171,ENSP00000354499,1,0.7066666666666667
ENSP00000381553,ENSP00000419665,0,0.4
ENSP00000216479,ENSP00000299767,1,0.8083333333333333
ENSP00000244537,ENSP00000313983,1,0.9516666666666667
ENSP00000365477,ENSP00000348054,1,0.47
ENSP00000301904,ENSP00000328277,0,0.32
ENSP00000367806,ENSP00000451818,1,0.7966666666666666
ENSP00000470252,ENSP00000385722,1,0.5166666666666667
ENSP00000353793,ENSP00000450607,1,0.49166666666666664
ENSP00000262241,ENSP00000328269,1,0.6616666666666666
ENSP00000379888,ENSP00000306902,1,0.95
ENSP00000359095,ENSP00000419446,0,0.33
ENSP00000296575,ENSP00000371067,0,0.45166666666666666
ENSP00000478771,ENSP00000340896,1,0.9316666666666666
ENSP00000265421,ENSP00000347170,1,0.49
ENSP00000431240,ENSP00000355315,1,0.8683333333333333
ENSP00000246117,ENSP00000484669,0,0.43666666666666665
ENSP00000360682,ENSP00000350708,1,0.48333333333333334
ENSP00000316578,ENSP00000338186,1,0.7166666666666667
ENSP00000261900,ENSP00000472249,0,0.38166666666666665
ENSP00000345672,ENSP00000349131,0,0.37333333333333335
ENSP00000340402,ENSP00000352900,0,0.145
ENSP00000271640,ENSP00000350032,0,0.35833333333333334
ENSP00000418532,ENSP00000494277,0,0.33
ENSP00000232607,ENSP00000359211,1,0.5933333333333334
ENSP00000345083,ENSP00000360683,0,0.62
ENSP00000361076,ENSP00000407323,1,0.9633333333333334
ENSP00000070846,ENSP00000339186,0,0.49333333333333335
ENSP00000320936,ENSP00000366314,0,0.36666666666666664
ENSP00000264731,ENSP00000450799,0,0.31666666666666665
ENSP00000360609,ENSP00000242057,1,0.4816666666666667
ENSP00000262848,ENSP00000367938,0,0.4216666666666667
ENSP00000216373,ENSP00000417677,0,0.38
ENSP00000475028,ENSP00000290349,1,0.81
ENSP00000397415,ENSP00000357301,1,0.4583333333333333
ENSP00000261497,ENSP00000316114,1,0.5966666666666667
ENSP00000367991,ENSP00000452763,0,0.565
ENSP00000358794,ENSP00000363397,0,0.5233333333333333
ENSP00000373347,ENSP00000443459,0,0.25833333333333336
ENSP00000257829,ENSP00000386134,1,0.765
ENSP00000368100,ENSP00000265433,1,0.7283333333333334
ENSP00000286788,ENSP00000355991,1,0.5833333333333334
ENSP00000463842,ENSP00000403172,1,0.9983333333333333
ENSP00000291759,ENSP00000391592,1,0.5366666666666666
ENSP00000211076,ENSP00000357726,0,0.2833333333333333
ENSP00000398632,ENSP00000337261,1,0.5233333333333333
ENSP00000253024,ENSP00000484810,1,0.45666666666666667
ENSP00000295770,ENSP00000410992,1,0.45
ENSP00000353245,ENSP00000353512,0,0.295
ENSP00000292432,ENSP00000356840,0,0.33666666666666667
ENSP00000280346,ENSP00000335304,1,0.7766666666666666
ENSP00000333938,ENSP00000367433,0,0.20333333333333334
ENSP00000300935,ENSP00000482270,0,0.34833333333333333
ENSP00000308413,ENSP00000311344,1,0.7233333333333334
ENSP00000428182,ENSP00000447488,1,0.3416666666666667
ENSP00000246891,ENSP00000301046,1,0.315
ENSP00000216264,ENSP00000301452,1,0.3933333333333333
ENSP00000274458,ENSP00000366248,0,0.3016666666666667
ENSP00000432119,ENSP00000362153,1,0.7633333333333333
ENSP00000158771,ENSP00000410758,0,0.525
ENSP00000253462,ENSP00000418268,1,0.42333333333333334
ENSP00000238497,ENSP00000318629,0,0.5183333333333333
ENSP00000261819,ENSP00000418960,1,0.6916666666666667
ENSP00000359606,ENSP00000362170,0,0.4666666666666667
ENSP00000367615,ENSP00000347046,1,0.6766666666666666
ENSP00000325377,ENSP00000359215,0,0.43166666666666664
ENSP00000448035,ENSP00000377640,1,0.9116666666666666
ENSP00000274813,ENSP00000285071,0,0.37
ENSP00000307288,ENSP00000350491,1,0.7066666666666667
ENSP00000219368,ENSP00000312617,0,0.25833333333333336
ENSP00000259212,ENSP00000263102,0,0.12833333333333333
ENSP00000370394,ENSP00000498630,0,0.27666666666666667
ENSP00000323720,ENSP00000355094,1,0.5933333333333334
ENSP00000231368,ENSP00000349748,0,0.2733333333333333
ENSP00000386894,ENSP00000431603,0,0.28
ENSP00000223029,ENSP00000251900,0,0.4116666666666667
ENSP00000251582,ENSP00000356814,0,0.485
ENSP00000370886,ENSP00000407818,0,0.37333333333333335
ENSP00000382250,ENSP00000496250,1,0.9816666666666667
ENSP00000229769,ENSP00000494957,1,0.665
ENSP00000215574,ENSP00000441543,1,0.8833333333333333
ENSP00000245206,ENSP00000300061,0,0.3933333333333333
ENSP00000286186,ENSP00000356782,0,0.47833333333333333
ENSP00000308610,ENSP00000387739,0,0.3333333333333333
ENSP00000254605,ENSP00000383003,0,0.5008333333333334
ENSP00000386962,ENSP00000388631,0,0.345
ENSP00000371188,ENSP00000312741,1,0.4483333333333333
ENSP00000310226,ENSP00000369538,1,0.7783333333333333
ENSP00000300403,ENSP00000356399,0,0.3516666666666667
ENSP00000346634,ENSP00000478501,0,0.525
ENSP00000410339,ENSP00000387262,1,0.495
ENSP00000481697,ENSP00000346027,1,0.9766666666666667
ENSP00000481149,ENSP00000498611,1,0.6683333333333333
ENSP00000362153,ENSP00000338862,1,0.9666666666666667
ENSP00000280557,ENSP00000348299,0,0.36333333333333334
ENSP00000364119,ENSP00000261868,1,0.91
ENSP00000360147,ENSP00000397925,0,0.3333333333333333
ENSP00000431418,ENSP00000314897,1,0.56
ENSP00000226319,ENSP00000361084,0,0.38333333333333336
ENSP00000359552,ENSP00000344220,1,0.5766666666666667
ENSP00000252575,ENSP00000287727,0,0.33
ENSP00000404375,ENSP00000464813,1,0.9883333333333333
ENSP00000307666,ENSP00000455813,0,0.555
ENSP00000296181,ENSP00000478931,0,0.31833333333333336
ENSP00000261700,ENSP00000362994,0,0.25666666666666665
ENSP00000497587,ENSP00000349142,1,0.6733333333333333
ENSP00000365773,ENSP00000412673,0,0.3566666666666667
ENSP00000279242,ENSP00000384964,0,0.3983333333333333
ENSP00000362105,ENSP00000321449,1,0.9166666666666666
ENSP00000342235,ENSP00000293328,1,0.7716666666666666
ENSP00000364589,ENSP00000273480,1,0.72
ENSP00000279441,ENSP00000463233,0,0.31666666666666665
ENSP00000379097,ENSP00000441953,0,0.39666666666666667
ENSP00000255465,ENSP00000262643,1,0.57
ENSP00000340989,ENSP00000484713,0,0.525
ENSP00000457513,ENSP00000354665,1,0.745
ENSP00000395772,ENSP00000346120,1,0.85
ENSP00000391592,ENSP00000360916,1,0.7366666666666667
ENSP00000271526,ENSP00000363787,0,0.5533333333333333
ENSP00000395708,ENSP00000358723,1,0.6783333333333333
ENSP00000346725,ENSP00000353246,1,0.8683333333333333
ENSP00000393392,ENSP00000458162,1,0.6833333333333333
ENSP00000349577,ENSP00000485659,0,0.135
ENSP00000424655,ENSP00000268717,1,0.655
ENSP00000357726,ENSP00000359505,0,0.33
ENSP00000315299,ENSP00000392828,0,0.6166666666666667
ENSP00000255631,ENSP00000357748,0,0.5
ENSP00000476136,ENSP00000352627,1,1.0
ENSP00000302194,ENSP00000272238,1,0.5033333333333333
ENSP00000362080,ENSP00000222256,1,0.595
ENSP00000434056,ENSP00000367498,1,0.39
ENSP00000353444,ENSP00000255006,1,0.55
ENSP00000240361,ENSP00000360157,0,0.25833333333333336
ENSP00000265080,ENSP00000407586,1,0.8716666666666667
ENSP00000369757,ENSP00000386862,0,0.5933333333333334
ENSP00000297316,ENSP00000400591,0,0.5516666666666666
ENSP00000445001,ENSP00000418447,1,0.795
ENSP00000355904,ENSP00000498715,0,0.4166666666666667
ENSP00000262186,ENSP00000409382,0,0.12333333333333334
ENSP00000161863,ENSP00000351141,1,0.37
ENSP00000352264,ENSP00000348416,1,0.6566666666666666
ENSP00000369554,ENSP00000229135,1,0.715
ENSP00000292169,ENSP00000437955,0,0.325
ENSP00000467266,ENSP00000501180,0,0.32666666666666666
ENSP00000289371,ENSP00000393241,1,0.995
ENSP00000263915,ENSP00000370021,0,0.16333333333333333
ENSP00000476228,ENSP00000287713,1,0.5616666666666666
ENSP00000237163,ENSP00000306100,0,0.32666666666666666
ENSP00000296140,ENSP00000358042,0,0.28
ENSP00000487444,ENSP00000349259,1,0.7966666666666666
ENSP00000482438,ENSP00000342889,1,0.7983333333333333
ENSP00000222330,ENSP00000388183,0,0.2683333333333333
ENSP00000367893,ENSP00000430031,1,0.49666666666666665
ENSP00000204961,ENSP00000337180,0,0.37
ENSP00000297268,ENSP00000264828,1,0.8966666666666666
ENSP00000336817,ENSP00000465617,0,0.31
ENSP00000219313,ENSP00000262300,0,0.33166666666666667
ENSP00000273668,ENSP00000225504,1,0.7283333333333334
ENSP00000352455,ENSP00000388806,0,0.2966666666666667
ENSP00000324890,ENSP00000370989,1,0.47333333333333333
ENSP00000265056,ENSP00000385479,1,1.0
ENSP00000255189,ENSP00000349547,0,0.5366666666666666
ENSP00000359364,ENSP00000371347,0,0.32166666666666666
ENSP00000301457,ENSP00000330737,1,0.8433333333333334
ENSP00000302327,ENSP00000478771,0,0.6883333333333334
ENSP00000356989,ENSP00000286788,1,0.8316666666666667
ENSP00000335808,ENSP00000356104,0,0.33
ENSP00000285402,ENSP00000297613,0,0.33166666666666667
ENSP00000336752,ENSP00000367038,0,0.44333333333333336
ENSP00000244496,ENSP00000292478,0,0.35333333333333333
ENSP00000472445,ENSP00000278616,1,0.7866666666666666
ENSP00000304593,ENSP00000338766,0,0.2916666666666667
ENSP00000482954,ENSP00000316416,1,0.84
ENSP00000373700,ENSP00000385451,1,0.25166666666666665
ENSP00000443017,ENSP00000469035,0,0.5566666666666666
ENSP00000245620,ENSP00000452521,0,0.25833333333333336
ENSP00000297205,ENSP00000425658,0,0.24666666666666667
ENSP00000280706,ENSP00000391481,1,0.7166666666666667
ENSP00000419851,ENSP00000352904,1,0.7833333333333333
ENSP00000398131,ENSP00000472469,1,0.8683333333333333
ENSP00000447378,ENSP00000499695,0,0.3
ENSP00000341838,ENSP00000228841,1,0.8816666666666667
ENSP00000261534,ENSP00000263985,0,0.20333333333333334
ENSP00000277942,ENSP00000307188,0,0.29
ENSP00000307684,ENSP00000294168,1,0.4583333333333333
ENSP00000256001,ENSP00000328111,0,0.245
ENSP00000298352,ENSP00000373325,0,0.27
ENSP00000496625,ENSP00000274192,1,0.6166666666666667
ENSP00000416429,ENSP00000463154,0,0.4266666666666667
ENSP00000395012,ENSP00000445122,0,0.4
ENSP00000262584,ENSP00000009530,1,0.8916666666666667
ENSP00000265113,ENSP00000381206,0,0.4216666666666667
ENSP00000363999,ENSP00000356001,1,0.6183333333333333
ENSP00000369131,ENSP00000372035,0,0.525
ENSP00000430075,ENSP00000483453,0,0.39166666666666666
ENSP00000310572,ENSP00000261601,1,0.7833333333333333
ENSP00000336894,ENSP00000382323,0,0.22166666666666668
ENSP00000219789,ENSP00000418081,0,0.5316666666666666
ENSP00000262375,ENSP00000325655,0,0.25166666666666665
ENSP00000400252,ENSP00000265104,1,0.8283333333333334
ENSP00000448035,ENSP00000469242,0,0.445
ENSP00000307674,ENSP00000301825,1,0.635
ENSP00000430432,ENSP00000384490,1,0.75
ENSP00000337224,ENSP00000224356,1,0.7183333333333334
ENSP00000365477,ENSP00000311399,1,0.48333333333333334
ENSP00000249041,ENSP00000318158,0,0.375
ENSP00000353575,ENSP00000497160,1,0.35333333333333333
ENSP00000247461,ENSP00000278903,0,0.33166666666666667
ENSP00000339001,ENSP00000378784,0,0.43333333333333335
ENSP00000363787,ENSP00000394394,1,0.6266666666666667
ENSP00000496250,ENSP00000315017,1,0.9866666666666667
ENSP00000254963,ENSP00000262965,0,0.29833333333333334
ENSP00000326261,ENSP00000362110,1,0.8216666666666667
ENSP00000500386,ENSP00000459962,1,0.6066666666666667
ENSP00000272321,ENSP00000480053,0,0.19666666666666666
ENSP00000385523,ENSP00000445920,0,0.49
ENSP00000215565,ENSP00000367939,1,0.7583333333333333
ENSP00000370557,ENSP00000261597,1,0.685
ENSP00000355231,ENSP00000358963,0,0.29833333333333334
ENSP00000340305,ENSP00000219548,1,0.6133333333333333
ENSP00000306997,ENSP00000379946,0,0.565
ENSP00000228850,ENSP00000385410,0,0.44333333333333336
ENSP00000282276,ENSP00000231572,1,0.51
ENSP00000356015,ENSP00000450436,1,0.8633333333333333
ENSP00000235521,ENSP00000471455,0,0.38333333333333336
ENSP00000278671,ENSP00000358223,0,0.2916666666666667
ENSP00000351137,ENSP00000392094,1,0.8483333333333334
ENSP00000263401,ENSP00000365477,1,0.465
ENSP00000256319,ENSP00000420641,0,0.53
ENSP00000231461,ENSP00000385795,0,0.29833333333333334
ENSP00000313419,ENSP00000360916,1,0.4633333333333333
ENSP00000226284,ENSP00000310933,0,0.255
ENSP00000327732,ENSP00000345702,0,0.38166666666666665
ENSP00000314505,ENSP00000449241,0,0.19833333333333333
ENSP00000300231,ENSP00000385834,0,0.31833333333333336
ENSP00000296785,ENSP00000370984,0,0.39666666666666667
ENSP00000337598,ENSP00000445675,0,0.295
ENSP00000322898,ENSP00000416739,0,0.24666666666666667
ENSP00000262887,ENSP00000359127,0,0.355
ENSP00000251170,ENSP00000495986,0,0.21166666666666667
ENSP00000367939,ENSP00000252711,1,0.7333333333333333
ENSP00000325074,ENSP00000361219,0,0.41333333333333333
ENSP00000320663,ENSP00000366563,1,0.6633333333333333
ENSP00000245255,ENSP00000266254,0,0.4483333333333333
ENSP00000377934,ENSP00000358918,1,0.3616666666666667
ENSP00000351159,ENSP00000392197,0,0.35833333333333334
ENSP00000427793,ENSP00000478255,0,0.32166666666666666
ENSP00000321388,ENSP00000329140,0,0.30833333333333335
ENSP00000430886,ENSP00000489061,0,0.315
ENSP00000360266,ENSP00000225831,1,0.6333333333333333
ENSP00000311032,ENSP00000258149,1,0.6933333333333334
ENSP00000489597,ENSP00000262995,1,0.7833333333333333
ENSP00000437783,ENSP00000307241,1,0.8716666666666667
ENSP00000342676,ENSP00000384952,1,0.9116666666666666
ENSP00000355114,ENSP00000483236,1,0.5983333333333334
ENSP00000262629,ENSP00000240618,1,0.66
ENSP00000262441,ENSP00000483254,0,0.13333333333333333
ENSP00000379181,ENSP00000287598,1,0.67
ENSP00000225430,ENSP00000261015,1,0.82
ENSP00000477527,ENSP00000479169,1,1.0
ENSP00000333837,ENSP00000463379,1,0.8566666666666667
ENSP00000262340,ENSP00000319705,0,0.44166666666666665
ENSP00000356771,ENSP00000364855,0,0.48333333333333334
ENSP00000365505,ENSP00000419411,0,0.30666666666666664
ENSP00000231509,ENSP00000360609,1,0.7566666666666667
ENSP00000229134,ENSP00000499900,0,0.3883333333333333
ENSP00000353408,ENSP00000294728,1,0.595
ENSP00000252711,ENSP00000389160,1,0.5183333333333333
ENSP00000419494,ENSP00000269385,1,0.6316666666666667
ENSP00000463393,ENSP00000262640,1,0.65
ENSP00000352706,ENSP00000362208,1,0.8966666666666666
ENSP00000345555,ENSP00000405573,1,0.5616666666666666
ENSP00000401303,ENSP00000220003,1,0.5683333333333334
ENSP00000379888,ENSP00000466010,1,0.9883333333333333
ENSP00000497004,ENSP00000177742,1,0.9466666666666667
ENSP00000368856,ENSP00000420306,0,0.35833333333333334
ENSP00000226319,ENSP00000414884,0,0.2
ENSP00000395929,ENSP00000498999,0,0.24333333333333335
ENSP00000339063,ENSP00000307889,1,0.9916666666666667
ENSP00000462355,ENSP00000328484,1,1.0
ENSP00000272321,ENSP00000327145,0,0.38333333333333336
ENSP00000272418,ENSP00000289371,1,0.9416666666666667
ENSP00000225328,ENSP00000330696,1,0.485
ENSP00000329380,ENSP00000499900,0,0.37833333333333335
ENSP00000382697,ENSP00000317985,1,0.8733333333333333
ENSP00000411532,ENSP00000313950,1,0.8183333333333334
ENSP00000391826,ENSP00000258729,1,0.5283333333333333
ENSP00000392025,ENSP00000464030,1,0.56
ENSP00000384517,ENSP00000314420,1,0.5483333333333333
ENSP00000473980,ENSP00000279242,1,0.8783333333333333
ENSP00000262418,ENSP00000406162,0,0.405
ENSP00000364076,ENSP00000389913,0,0.225
ENSP00000329697,ENSP00000229266,1,0.68
